# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1980-03-15T00:00:00Z,0.028281303,0.012750936,0.11292004
1980-03-16T00:00:00Z,1.1572574,2.1549337,1.4679693
1980-03-17T00:00:00Z,24.927343,41.517044,6.443372
1980-03-18T00:00:00Z,3.1864526,4.9883604,2.2334638
1980-03-19T00:00:00Z,0,0,0
1980-03-20T00:00:00Z,30.809807,103.77748,10.187123
1980-03-21T00:00:00Z,11.9013,4.573221,2.138509
1980-03-22T00:00:00Z,0.028250609,0.0228243,0.15107714
1980-03-23T00:00:00Z,0.9115122,0.31801584,0.56392896
1980-03-24T00:00:00Z,22.516714,31.741808,5.633987
1980-03-25T00:00:00Z,0.12800045,0.057073243,0.23890007
1980-03-26T00:00:00Z,0.025421916,0.015482636,0.12442924
1980-03-27T00:00:00Z,0.65521145,1.0766706,1.0376273
1980-03-28T00:00:00Z,22.116613,171.8336,13.108532
1980-03-29T00:00:00Z,2.799922,3.75928,1.9388863
1980-03-30T00:00:00Z,6.1370173,6.326791,2.5153112
